slide no, slide clicked time,     stop time,      start-time,      elapsed time on image 
1,    155057485.6358142,  155057485.7398064,  155057485.4863025,  0.2535039186477661
2,    155057485.9598081,  155057486.019012,  155057485.7398064,  0.2792055904865265
3,    155057486.1558571,  155057486.2350249,  155057486.019012,  0.2160128951072693
4,    155057486.3758393,  155057486.4182264,  155057486.2350249,  0.18320149183273315
5,    155057486.5742072,  155057486.6486045,  155057486.4182264,  0.23037812113761902
6,    155057486.9190112,  155057486.9942094,  155057486.6486045,  0.34560489654541016
7,    155057487.1278104,  155057487.1718138,  155057486.9942094,  0.17760437726974487
8,    155057487.2662449,  155057487.3182206,  155057487.1718138,  0.14640679955482483
9,    155057487.4086115,  155057487.4982385,  155057487.3182206,  0.18001791834831238
10,    155057487.6870216,  155057487.7414119,  155057487.4982385,  0.24317339062690735
